INFO 2026-02-17 10:58:49,634 autoreload Watching for file changes with StatReloader
DEBUG 2026-02-17 10:58:49,636 autoreload Waiting for apps ready_event.
DEBUG 2026-02-17 10:58:49,738 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2026-02-17 10:58:50,487 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-02-17 10:58:50,496 autoreload Watching dir C:\Users\kt_am\Desktop\securegrid-manager\templates with glob **/*.
DEBUG 2026-02-17 10:58:50,749 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\rest_framework\request.py first seen with mtime 1771270721.7981963
DEBUG 2026-02-17 10:58:50,760 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\celery\utils\term.py first seen with mtime 1771270746.585493
DEBUG 2026-02-17 10:58:50,761 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\apps\authentication\__init__.py first seen with mtime 1771318712.3635728
DEBUG 2026-02-17 10:58:50,761 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1771270611.984929
DEBUG 2026-02-17 10:58:50,762 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1771270612.110716
DEBUG 2026-02-17 10:58:50,763 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1771270611.3390882
DEBUG 2026-02-17 10:58:50,763 autoreload File C:\Python311\Lib\collections\__init__.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,764 autoreload File C:\Python311\Lib\inspect.py first seen with mtime 1712058174.0
DEBUG 2026-02-17 10:58:50,764 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1771270722.073779
DEBUG 2026-02-17 10:58:50,765 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1771270612.0383592
DEBUG 2026-02-17 10:58:50,766 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\amqp\channel.py first seen with mtime 1771270651.1222088
DEBUG 2026-02-17 10:58:50,766 autoreload File C:\Users\kt_am\Desktop\securegrid-manager\venv\Lib\site-packages\dateutil\relativedelta.py first seen with mtime 1771270597.3063455
